feature_path,transcript
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000042.npy,this is what i wished for
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000043.npy,and better still to be alone with one's books
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000044.npy,you'll weaken when you see that little jezebel
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000045.npy,i'll give you a break
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000046.npy,i like cyndi wayne
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000047.npy,could have been on my way to old doc brown
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000048.npy,there isn't even a single reason for me to go to the lake today
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000049.npy,i'm not afraid to die
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000050.npy,i wanted the doll but the auction became too expensive
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000051.npy,got to be a sergeant
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000052.npy,remember the night we broke the windows in this old house
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000053.npy,then it was the radio
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000054.npy,why don't you fellows get your own news
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000055.npy,some of those who saw its flight say it travelled with a hissing sound
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000056.npy,you know where she lives
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000057.npy,the pages of the book flipped upside down
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000058.npy,being surrounded by so many people made him feel uncomfortable
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000059.npy,play tyrants and wraiths
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000060.npy,i suppose i could
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000061.npy,after all the spinning had stopped megan felt better
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000062.npy,the boy spent a sleepless night
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000063.npy,i don't know what it is
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000064.npy,he experienced the pictures with his fingers while he listened
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000065.npy,the kyoto style coffee does not disappoint
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000066.npy,i would appreciate if you could create a concise table
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000067.npy,how do you think i got here
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000068.npy,without the dataset the article is useless
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000069.npy,all they ever do really is look for food and water
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000070.npy,you're not paid to be a canary
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000071.npy,are you really fred's brother
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000072.npy,you know what we're going to do
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000073.npy,i've had this shop for thirty years
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000074.npy,your government is counting on you
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000075.npy,what do you think you're doing holding up traffic
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000076.npy,everything looked diffuse after she took the narcotic
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000077.npy,then what's a big political boss like shiela daniels doing in town
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000078.npy,it wasn't there
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000079.npy,please give me my robe
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000080.npy,give untouched by human hands five points out of 
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000081.npy,i'm city editor in name only
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000082.npy,many telescopes were pointed at it
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000083.npy,i've crossed these sands many times said one of the camel drivers one night
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000084.npy,somewhere you are holding the person i love the boy said
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000085.npy,the boy wanted to believe that his friend had simply become separated from him by accident
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000086.npy,they're always after me for interviews
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000087.npy,but i don't have it
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000088.npy,i kept my eyes fixed on the cylinder and began pushing my way back from the edge of the pit
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000089.npy,it has happened many times before
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000090.npy,the global positioning system works with triangulation
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000091.npy,we have recovered most of the deleted files but some are still being processed
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000092.npy,it'll be for life
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000093.npy,there was a small building there with a window at which people bought tickets to africa
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000094.npy,we're going to take her over to my private office
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000095.npy,the mazarine blue butterfly is extinct in the united kingdom
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000096.npy,the volume wouldn't increase much further
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000097.npy,everything you need to know you have learned through your journey
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000098.npy,i'm through listening to you
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000099.npy,just tell them marge sent you
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000100.npy,my mother is the best cook in the world
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000101.npy,what's wrong with that
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000102.npy,i've got a weakness
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000103.npy,don't say anything fatima interrupted
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000104.npy,he voyaged on a ship called beagle
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000105.npy,oh its not such a big deal right away
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000106.npy,you should see the other guy specifically how good at fighting he is
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000107.npy,she bought cucumbers at the marketplace
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000108.npy,i taught them everything they do
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000109.npy,my wacom tablet has a dodgy wire
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000110.npy,i'm going to wait here for you every day
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000111.npy,on the very first page it described a burial ceremony
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000112.npy,i met a man with sharp nails
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000114.npy,and shouldn't they be garnished
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000115.npy,aiding an escaped criminal
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000116.npy,then stop acting like one
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000117.npy,how do you suppose ken got that gun
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000118.npy,words are in my notsohumble opinion our most inexhaustible source of magic
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000119.npy,in my fantasy i can guarantee harmony for all eternity
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000120.npy,he learned swimming in school
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000121.npy,now what's the story
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000122.npy,she could not manage to climb over the fence
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000123.npy,astronomy might be complicated but it's not rocket science
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000124.npy,the visual acuity is astonishing
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000125.npy,i gave you fifty just the other day
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000126.npy,the horse reared again raising a cloud of dust
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000127.npy,given only the public key it is very hard to compute the private one
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000128.npy,your mother and i talked it over half the night
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000129.npy,plastic bags turned out to be a problem for the environment
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000130.npy,the more people that can participate in the web the better the internet and the world will be
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000131.npy,the carpet was exquisite
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000132.npy,two more months passed and the shelf brought many customers into the crystal shop
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000133.npy,do you know that i threw it away
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000134.npy,i'll talk to you tonight
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000135.npy,but before i go i want to tell you a little story
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000136.npy,every time he saw her he felt nervous
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000137.npy,the boy turned to the hand that wrote all
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000138.npy,the biological threat was contained
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000139.npy,you've got about two minutes
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000140.npy,that gives you an idea of what i'm up against
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000141.npy,if something isn't done
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000142.npy,pink foam floated gently through the air landing on the parked vehicles
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000143.npy,she knows that men have to go away in order to return
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000144.npy,your crew will do the mop up job
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000145.npy,better get a pencil out and write it down
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000147.npy,but i like it that way
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000148.npy,too much food is being wasted
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000149.npy,the englishman was disappointed
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000150.npy,personally i prefer to use relative line numbers such as up ten or down five
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000151.npy,all the words you've got
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000152.npy,all set for the big night
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000153.npy,after all what he had always wanted was just that to know new places
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000154.npy,book a table for midnight for  in nesco
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000155.npy,there were raised voicesand some sort of struggle appeared to be going on 
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000156.npy,its important to keep an open mind and she has urged me to do the same
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000157.npy,i don't even know who i'm talking to any more
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000158.npy,i use links for the former and i simply speak the number for the latter
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000159.npy,isn't it all too wonderful
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000160.npy,you can't get her on the phone
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000161.npy,you have missed more than two decades of rapid progress in image processing
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000162.npy,i never had any such idea
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000163.npy,tell them all to wait
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000164.npy,maybe that's why they give up on it so early too
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000165.npy,they're on their way
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000166.npy,and it's not love to see everything from a distance like you do
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000167.npy,in symmetric cryptography the same key is used for encryption and decryption
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000168.npy,she placed the glass carefully on the edge of the table
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000169.npy,cashier's got your check
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000170.npy,he put his headcloth in place and secured it with a ring made of camel skin
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000171.npy,tickets for the broadcast are all gone
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000172.npy,the google search bar is for searching not for typing urls
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000173.npy,wait until it happens to you sometime
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000174.npy,this makes me feel funny
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000175.npy,paper cups are bad for the environment if you throw them in the garbage
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000176.npy,did you see his picture on the cover of time
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000177.npy,i'll be right over there pulling for you
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000178.npy,why can't you get along with her
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000179.npy,i guess you forgot something
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000180.npy,everyone is just standing by the building waiting to get in
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000181.npy,embedded scripts from external sources can harm the users privacy
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000182.npy,i didn't know shepherds knew how to read said a girl's voice behind him
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000183.npy,typical american that can keep his mouth shut
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000184.npy,picture's in the paper
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000185.npy,for voice coding purposes you'll want to familiarize yourself with the multiedit module
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000186.npy,jennifer's expression changed pull my finger she said
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000187.npy,this makes me feel funny
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000188.npy,my password has been changed without permission
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000189.npy,i said with the mouth shut
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000190.npy,her jeans have holes in them
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000191.npy,you are pronouncing it wrong
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000192.npy,did you ever walk into this office
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000193.npy,i think we were wrong about sally having the money
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000194.npy,but don't take my word for it
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000195.npy,aren't you allowed to kiss back
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000196.npy,mohamed plays often with the computer
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000197.npy,only we call them agents
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000198.npy,i never said i'd take it
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000199.npy,how would the method behave with kernels of different size
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000200.npy,you've got lipstick all over your mouth
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000201.npy,he expertly gutted the rabbit
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000202.npy,what good'll it do
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000203.npy,i got a lot on my mind
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000204.npy,the constitution of his flat was not optimal
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000205.npy,how does anything like this ever start
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000206.npy,and so do i
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000207.npy,of course it's the place
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000208.npy,walk in the grass in my bare feet
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000209.npy,will it be cold in haiti
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000210.npy,so it's not quite as powerful as you might expect and most of the time i rely on the builtin vocabulary
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000211.npy,please give me my robe
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000212.npy,my puberty was probably taxing for mommy and daddy
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000213.npy,think i'll go home and see what the family is doing
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000214.npy,they went on smoking the pipe for a while as the sun began to set
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000215.npy,people living in the socalled bible belt have more conservative opinions than inhabitants of california
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000216.npy,if i told you it might not come true
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000217.npy,the nurse waddled around the ward
D:\Real-Time-Speech-Recognition-and-Translation\Data\featured_extracted\cv-other-dev\sample-000218.npy,how about that one there
